"id","text","video_id","category"
"UgyRrOuJ6JCA6_dx8bp4AaABAg","Фигня все ЕТО!","2","DS"
"Ugy2Y9y84Bx1MlcMCvZ4AaABAg","Здравствуйте у вас есть по этой направление курсы?","2","DS"
"UgyejmE5daF7Fx4-asp4AaABAg","Спасибо за ваши старания","2","DS"
"UgzNIpd0ZMMKoHMfNB14AaABAg","Да замануха по поводу зарплат. Чтобы получить такую зп надо пахать и ещё найти какому бизнесу это надо. Рынок в РФ не такой развитой, как в ЕЭС или КНР.","2","DS"
"UgzZ3uTLVMUqQKm4X3J4AaABAg","я хочу потрогать бигДату и датуСайенс, но из арсенала - только JavaScript :)","2","DS"
"UgzpFS5mCnkRiohvgl14AaABAg","I love you","2","DS"
"UgyBoijvarIxEb7TQ1R4AaABAg","Привет. Меня всё-таки взяли на работу аналитиком и уже 3 месяца отработал. Правда у меня больше по SQL, ETL (Pentaho) и дашборды в Tableau. Python-а вообще почти нет. И у меня вопрос: зачем ты ввязалась в ИП и курсы, раз работаешь в банке и зарабатываешь от 200к?","2","DS"
"UgylzsgWiN0YmNHWx7x4AaABAg","Направление не для всех?","2","DS"
"UgzVK28AYpU3JI_iNbt4AaABAg","Очень интересно. Спасибо! Подписался, буду вас слушать.","2","DS"
"UgxcRIc7E5MK-bg0Im94AaABAg","Я уже говорил, что ты красотка?!","2","DS"
"UgzuBg6hxN17R6qLpWp4AaABAg","Я тупой стоит учиться ???))))))","2","DS"
"UgyA7dwZoSR7LKDtSc54AaABAg","Внешне красивая девушка 🙃","2","DS"
"Ugx2ADjTqVschZj2tcd4AaABAg","Вставлю свои 5 копеек. Если вы идете в эту профессию ради денег - это ооооочень плохая идея. Вы должны обожать математику, исследования и все прочее. Я проработав год на позиции Data Scientist, сбежала оттуда, сверкая пятками и теперь уже больше полугода счастлива потому что нашла свое - веб разработка. Я люблю создавать новое, а не исследования проводить.","2","DS"
"UgwbCwFw7RM97-u-Xa14AaABAg","Очень интересный рассааз","2","DS"
"UgzX3i9-nOv-7fXlpCZ4AaABAg","Человек ошибается в большинстве случаев, соотв нейроная сеть тоже, тогда непонятно зачем она нужна","2","DS"
"UgzqzBDcWVry7Jysqux4AaABAg","Программист решил сделать машину чтобы сама ездила заправлялась, чинилась, мылась, думал думал и понял что придумал лошадь.","2","DS"
"UgwmmfSgwAYOOVH46g94AaABAg","Мы и ещё сами не знаем что такое интеллект, так что про искусственный рано говорить, сравните количество связей в мозге и компа, там как до альфа центавра","2","DS"
"Ugw_YFZMQE6vDHxuFQh4AaABAg","Ешшшооо...","2","DS"
"Ugy7DqRUAiZj92W1ruF4AaABAg","А без высшего математического образования можно ли в эту сферу идти?","2","DS"
"UgzMCvgtqW9iAlUFuQV4AaABAg","Круто, удачи каналу","2","DS"
"UgydFV3l-V_CU2ujqsV4AaABAg","Умница!!!","2","DS"
"Ugwa1A4m8NJ3LOtqIad4AaABAg","На счёт поиска магазинов - интересный пример. Он ещё тесно связан с геоинформационными системами) как и в принципе любая географически разнесенная задача","2","DS"
"UgxCgqQ3rOEQIyDxUIx4AaABAg","Здравствуйте, Анастасия. Вопрос, если я с математикой не дружу, но интересен Data Science,есть ли смысл обучаться?","2","DS"
